flag,unique_id,id,site_name,state,county,address,city,zip_code,phone_number,testing_status,appointment_required,physician_order_required,screening_required,restrictions_apply,restriction_details,type_of_center,rapid_testing,non_rapid_testing,guidelines,provider_url,antibody_testing,monday,tuesday,wednesday,thursday,friday,saturday,sunday,latitude,longitude,cost_of_test,open_date,close_date,minimum_age
,1705,NY1,NYC Health + Hospitals/Lincoln,NY,Bronx,234 East 149th Street,Bronx,10451,(718) 579-5000,Testing,N,N,In-Person Screening,N,,Walk up only,N,"Y,2-3","Pre-registration available, visit web-page at https://www.nychealthandhospitals.org/covid-19-testing-sites/",https://www.nychealthandhospitals.org/covid-19-testing-sites/?redirect&notification,Y,09:00AM-05:00PM,09:00AM-05:00PM,09:00AM-05:00PM,09:00AM-05:00PM,09:00AM-05:00PM,,,40.8161,-73.9248,0.00,,,2
,1707,NY3,"NYC Health + Hospitals/Gotham Health, Morrisania",NY,Bronx,1225 Gerard Avenue,Bronx,10452,(844) 692-4692,Testing,N,N,In-Person Screening,N,,Walk up only,N,"Y,3-5","Pre-registration available, visit web-page. Close on 2/21/2022, President's Day",https://www.nychealthandhospitals.org/covid-19-testing-sites-for-high-risk-patients/?notification,N,07:00AM-04:00PM,07:00AM-04:00PM,07:00AM-04:00PM,07:00AM-04:00PM,07:00AM-04:00PM,,,40.8363,-73.9202,0.00,,,
,1709,NY5,"NYC Health + Hospitals/Gotham Health, Cumberland",NY,Kings,100 North Portland Avenue,Brooklyn,11205,(844) 692-4692,Testing,N,N,In-Person Screening,N,,Walk up only,N,"Y,3-5","Pre-registration available, visit web-page. Close on 2/21/2022, President's Day",https://www.nychealthandhospitals.org/covid-19-testing-sites-for-high-risk-patients/,N,07:00AM-04:00PM,07:00AM-04:00PM,07:00AM-04:00PM,07:00AM-04:00PM,07:00AM-04:00PM,,,40.6951,-73.9765,0.00,,,
,1711,NY7,NYC Health + Hospitals/Queens,NY,Queens,82-68 164th Street,Jamaica,11432,(718) 883-3000,Testing,N,N,In-Person Screening,N,,Walk up only,N,"Y,3-5","Pre-registration available, visit web-page at https://www.nychealthandhospitals.org/covid-19-testing-sites/.",https://www.nychealthandhospitals.org/covid-19-testing-sites/?redirect&notification,Y,07:00AM-07:00PM,07:00AM-07:00PM,07:00AM-07:00PM,07:00AM-07:00PM,07:00AM-07:00PM,07:00AM-07:00PM,,40.7172,-73.8035,0.00,,,
,1714,NY10,Morris Park Urgent Care,NY,Bronx,1049 Morris Park Avenue,Bronx,10461,(929) 777-9082,Testing,N,N,In-Person Screening,N,,Urgent Care Clinic,"Y,5","Y,3",,https://www.prohealthcare.com/content/prohealth/en/urgent-care.html/,Y,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-06:00PM,09:00AM-06:00PM,40.8489,-73.8549,,,,
,1716,NY12,ProHealth Urgent Care - College Point,NY,Queens,132-01 14th Avenue,College Point,11356,(917) 285-2158,Testing,N,N,Phone or In-Person Screening,N,,Urgent Care Clinic and Drive-thru,"Y,6","Y,2-3",This is a full-service urgent care center that has COVID-19 testing for all ages. Walk in or book in advance with SOLV. ,https://www.prohealthcare.com/covid-19-testing/locations.html,Y,08:00AM-08:00PM,08:00AM-08:00PM,08:00AM-08:00PM,08:00AM-08:00PM,08:00AM-08:00PM,08:00AM-05:00PM,08:00AM-05:00PM,40.7865,-73.8362,,,,0
,1717,NY13,ProHealth Urgent Care - Eltingville,NY,Richmond,3894 Richmond Avenue,Staten Island,10312,(347) 630-7985,Testing,N,Y,Phone Screening,N,,Urgent Care Clinic and Drive-thru,"Y,6","Y,2-3","Call hotline 516-874-0411 to speak with a medical professional, If your symptoms suggest you need a test, you'll be scheduled at the nearest location. Hotline is available M-F from 8 a.m. to 7 p.m. and on weekends from 8 a.m. to 4 p.m ",https://www.prohealthcare.com/urgent-care.html,Y,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-09:00PM,09:00AM-06:00PM,09:00AM-06:00PM,40.543,-74.1643,,,,0
,1718,13750,Walgreens 13750,NY,Richmond,7001 Amboy Road,Staten Island,10307,,Testing,N,N,Virtual or In-Person Screening,N,,Pharmacy Clinic,"Y,576","Y,2",ICATT pharmacy partner,walgreens.com/findcare/covid19/testing,N,09:30AM-05:00PM,09:30AM-05:00PM,09:30AM-05:00PM,09:30AM-05:00PM,09:30AM-05:00PM,10:00AM-05:00PM,10:30AM-02:00PM,40.5163,-74.2343,0.00,,,3
,1731,NY27,"NYC Health + Hospitals/Gotham Health, Belvis",NY,Bronx,545 East 142nd Street,Bronx,10454,(844) 692-4692,Testing,N,N,In-Person Screening,N,,Walk up only,N,"Y,3-5","Pre-registration available, visit web-page. Close on 2/21/2022, President's Day",https://www.nychealthandhospitals.org/covid-19-testing-sites-for-high-risk-patients/,N,07:00AM-04:00PM,07:00AM-04:00PM,07:00AM-04:00PM,07:00AM-04:00PM,07:00AM-04:00PM,,,40.8101,-73.9157,0.00,,,
,1733,NY29,NYC Health + Hospitals/Woodhull,NY,Kings,760 Broadway,Brooklyn,11206,(844) 692-4692,Testing,N,N,In-Person Screening,N,,Hospital,N,"Y,2-3","Pre-registration available, visit web-page at https://www.nychealthandhospitals.org/covid-19-testing-sites/.",https://www.nychealthandhospitals.org/covid-19-testing-sites/?redirect&notification,Y,07:00AM-07:00AM,07:00AM-07:00AM,07:00AM-07:00AM,07:00AM-07:00AM,07:00AM-07:00AM,07:00AM-04:00AM,07:00AM-04:00AM,40.6997,-73.9425,0.00,,,4
